z1 z2 a1 sigma_a1_m sigma_a1_p a2 sigma_a2_m sigma_a2_p a3 sigma_a3_m sigma_a3_p a4 sigma_a4_m sigma_a4_p a5 sigma_a5_m sigma_a5_p a6 sigma_a6_m sigma_a6_p a7 sigma_a7_m sigma_a7_p a8 sigma_a8_m sigma_a8_p a9 sigma_a9_m sigma_a9_p a10 sigma_a10_m sigma_a10_p a11 sigma_a11_m sigma_a11_p a12 sigma_a12_m sigma_a12_p a13 sigma_a13_m sigma_a13_p a14 sigma_a14_m sigma_a14_p a15 sigma_a15_m sigma_a15_p a16 sigma_a16_m sigma_a16_p
-2.631600e+02 -1.578900e+02 1.430748e-03 1.694716e-04 1.545489e-04 4.638267e-04 9.981604e-05 1.268170e-04 5.114206e-04 1.066013e-04 1.086246e-04 4.212856e-04 2.084807e-04 7.861496e-05 4.982922e-04 1.182785e-04 7.213767e-05 5.156825e-04 8.640741e-05 1.040412e-04 5.231471e-04 9.658903e-05 1.066981e-04 6.053121e-04 9.436420e-05 1.039942e-04 5.662446e-04 8.711316e-05 6.530691e-05 1.209401e-03 9.678654e-05 9.591374e-05 3.326933e-03 1.402762e-04 1.458080e-04 4.820436e-03 1.629384e-04 1.536363e-04 1.087442e-02 2.181501e-04 1.773644e-04 5.117404e-03 1.536552e-04 1.541529e-04 5.894733e-03 1.295914e-04 1.281986e-04 7.043698e-03 1.193491e-04 1.201240e-04
-1.578900e+02 -1.052600e+02 2.418487e-03 2.683359e-04 2.676573e-04 1.463226e-03 2.769052e-04 2.456240e-04 9.150439e-04 2.847143e-04 2.092640e-04 7.784507e-04 1.720714e-04 1.642393e-04 1.037170e-03 2.149729e-04 2.096541e-04 1.218532e-03 1.778121e-04 1.745487e-04 1.380005e-03 1.704258e-04 2.211486e-04 1.488760e-03 1.923116e-04 1.986853e-04 1.234154e-03 1.558363e-04 2.118752e-04 3.989290e-03 2.487309e-04 2.462541e-04 8.424647e-03 2.933743e-04 2.768468e-04 9.190286e-03 2.286484e-04 2.752186e-04 1.463153e-02 2.823969e-04 2.890016e-04 5.559146e-03 2.024562e-04 2.284464e-04 6.765140e-03 1.807643e-04 2.025139e-04 7.568656e-03 1.699140e-04 1.584328e-04
-1.052600e+02 -5.263000e+01 6.352601e-03 5.294734e-04 5.497412e-04 3.397556e-03 3.520206e-04 3.487177e-04 2.801962e-03 2.912806e-04 3.932298e-04 2.614997e-03 2.848672e-04 3.191637e-04 3.553781e-03 3.589876e-04 3.752400e-04 3.950907e-03 2.831792e-04 3.203731e-04 3.901429e-03 3.042146e-04 3.364019e-04 3.824051e-03 3.005833e-04 3.160954e-04 5.289800e-03 3.052489e-04 3.253860e-04 7.977498e-03 3.168854e-04 3.113523e-04 1.252438e-02 3.647545e-04 3.744228e-04 1.304039e-02 3.070884e-04 3.356398e-04 1.719032e-02 2.960571e-04 3.274356e-04 6.413982e-03 2.089485e-04 2.218225e-04 6.946394e-03 1.812193e-04 1.669832e-04 8.307225e-03 1.686155e-04 1.826962e-04
-5.263000e+01 0.000000e+00 1.996501e-02 1.347568e-03 1.490833e-03 7.987725e-03 7.468394e-04 7.775751e-04 6.484650e-03 6.561930e-04 6.204283e-04 4.732204e-03 4.622702e-04 4.549798e-04 6.445743e-03 5.709101e-04 5.358589e-04 6.601937e-03 4.972332e-04 4.665968e-04 6.485003e-03 4.574209e-04 4.485353e-04 6.808764e-03 3.627856e-04 3.805325e-04 1.221603e-02 5.354505e-04 5.514563e-04 1.386443e-02 4.506552e-04 4.749383e-04 1.648665e-02 5.029959e-04 4.563520e-04 1.523245e-02 3.299388e-04 3.311164e-04 1.798100e-02 3.165720e-04 3.027460e-04 6.080094e-03 2.302996e-04 2.307496e-04 7.770591e-03 2.028045e-04 1.904010e-04 9.635008e-03 1.962292e-04 1.933841e-04
0.000000e+00 5.263000e+01 2.657342e-02 1.968143e-03 1.895111e-03 1.338654e-02 1.115961e-03 1.223958e-03 6.999064e-03 5.693089e-04 6.045840e-04 5.387030e-03 5.205958e-04 4.915665e-04 6.150761e-03 5.159797e-04 5.032291e-04 5.090872e-03 4.569208e-04 5.038919e-04 5.056791e-03 4.015760e-04 3.659711e-04 6.559802e-03 3.711978e-04 3.566142e-04 1.499385e-02 6.168399e-04 6.608806e-04 1.650222e-02 5.870919e-04 4.946348e-04 1.679813e-02 5.124447e-04 5.155754e-04 1.470440e-02 3.149044e-04 3.214785e-04 1.630710e-02 3.047443e-04 2.762537e-04 7.476372e-03 2.478776e-04 2.529808e-04 7.885873e-03 2.184259e-04 1.813505e-04 8.438158e-03 1.802742e-04 1.789683e-04
5.263000e+01 1.052600e+02 1.771610e-02 1.349823e-03 1.269919e-03 4.243496e-03 4.659009e-04 4.605434e-04 2.518656e-03 3.488981e-04 2.676716e-04 1.651584e-03 2.109669e-04 2.486298e-04 2.006527e-03 2.282375e-04 2.556792e-04 2.069462e-03 2.713249e-04 2.566237e-04 3.000086e-03 2.684003e-04 2.896762e-04 5.222108e-03 2.921592e-04 3.715769e-04 1.141998e-02 4.739120e-04 4.691742e-04 1.203746e-02 3.842643e-04 3.998362e-04 1.323199e-02 4.324537e-04 3.904319e-04 1.380001e-02 2.931665e-04 3.216766e-04 1.710998e-02 3.012477e-04 2.927159e-04 6.301232e-03 2.513951e-04 2.472782e-04 7.195724e-03 1.921785e-04 2.113336e-04 9.872360e-03 2.093685e-04 1.972208e-04
1.052600e+02 1.578900e+02 5.161448e-03 4.143170e-04 4.639127e-04 1.287355e-03 2.617019e-04 2.611979e-04 7.340040e-04 1.522238e-04 1.535960e-04 3.795616e-04 1.015703e-04 1.653254e-04 5.346976e-04 2.329603e-04 1.534071e-04 4.761158e-04 1.759910e-04 2.220782e-04 6.908496e-04 2.228442e-04 1.305858e-04 1.689248e-03 1.794717e-04 1.821473e-04 5.981591e-03 3.469126e-04 3.028405e-04 7.373537e-03 3.323671e-04 3.104164e-04 8.808419e-03 2.814175e-04 3.051365e-04 1.040406e-02 2.736651e-04 2.653718e-04 1.524453e-02 2.810506e-04 2.709876e-04 5.865230e-03 2.280290e-04 2.530973e-04 7.537594e-03 2.008987e-04 2.134024e-04 8.580029e-03 1.879985e-04 1.756652e-04
1.578900e+02 2.631600e+02 2.002106e-03 2.081267e-04 2.178954e-04 2.169584e-04 3.991664e-05 1.242815e-04 1.274120e-04 6.043291e-05 5.648185e-05 9.715026e-05 3.771947e-05 8.241679e-05 1.452944e-04 8.459895e-05 5.240251e-05 1.036670e-04 1.959592e-05 5.703960e-05 1.229821e-04 3.637637e-05 5.777698e-05 3.320834e-04 9.834474e-05 8.775819e-05 1.023411e-03 9.861246e-05 1.086298e-04 2.304437e-03 1.287094e-04 1.374310e-04 4.325399e-03 1.594173e-04 1.610752e-04 6.776407e-03 1.657129e-04 1.809996e-04 1.239043e-02 1.973159e-04 2.315786e-04 5.282650e-03 1.650952e-04 1.745002e-04 5.938499e-03 1.197551e-04 1.353342e-04 6.806867e-03 1.197020e-04 1.118393e-04
2.631600e+02 3.684200e+02 1.137926e-03 1.593011e-04 1.509616e-04 4.778159e-04 6.201600e-05 6.827232e-05 2.282815e-04 8.811854e-05 1.194356e-04 2.239171e-04 6.127515e-05 6.937096e-05 2.082241e-04 8.515416e-05 9.409897e-05 7.454439e-05 3.822124e-05 4.614648e-05 1.440585e-04 3.864095e-05 5.336767e-05 1.763769e-04 9.991883e-05 4.890374e-05 3.517311e-04 6.945867e-05 6.573553e-05 6.036472e-04 6.819822e-05 7.882364e-05 1.812356e-03 9.828998e-05 1.063652e-04 2.565720e-03 1.092748e-04 1.020376e-04 6.381350e-03 1.386422e-04 1.382729e-04 3.673182e-03 1.394275e-04 1.232179e-04 4.405003e-03 1.227098e-04 1.191849e-04 5.402582e-03 1.091503e-04 9.630316e-05
3.684200e+02 4.736800e+02 5.165386e-04 1.207918e-04 9.227714e-05 2.095361e-04 6.324130e-05 1.187171e-04 2.020276e-04 8.271050e-05 9.058191e-05 1.336067e-04 5.861790e-05 6.644994e-05 6.656709e-05 2.879685e-05 1.777169e-04 5.307585e-05 2.625115e-05 2.491309e-05 7.244377e-05 4.489273e-05 9.688405e-05 1.358006e-04 4.294883e-05 3.584870e-05 1.035149e-04 2.823970e-05 4.086722e-05 1.575353e-04 6.632940e-05 4.917939e-05 5.710332e-04 8.031230e-05 7.236707e-05 8.884082e-04 7.721551e-05 7.736355e-05 3.340479e-03 1.067061e-04 1.107091e-04 2.840329e-03 1.127475e-04 1.229152e-04 2.935184e-03 8.847000e-05 8.716231e-05 4.262427e-03 8.492603e-05 8.469318e-05
4.736800e+02 5.789500e+02 5.056418e-04 7.995530e-05 1.201923e-04 1.937054e-04 7.660188e-05 7.888404e-05 1.706618e-04 7.821133e-05 6.880015e-05 1.192247e-04 4.824719e-05 6.202246e-05 9.125349e-05 5.937335e-05 5.251173e-05 6.772130e-05 2.875276e-05 4.380416e-05 4.855758e-05 3.069460e-05 2.048616e-05 4.272857e-05 1.924867e-05 2.943541e-05 1.421512e-04 4.529820e-05 5.035351e-05 5.763889e-05 3.255753e-05 6.028349e-05 2.293055e-04 6.666795e-05 6.619919e-05 2.636863e-04 4.261548e-05 6.072618e-05 1.800459e-03 8.523583e-05 8.011852e-05 2.097772e-03 9.263090e-05 9.877963e-05 2.110602e-03 8.415286e-05 9.489577e-05 3.873597e-03 8.452123e-05 9.035569e-05
5.789500e+02 6.842100e+02 2.660797e-04 6.247910e-05 8.601174e-05 1.634283e-04 8.488765e-05 1.171080e-04 2.064659e-04 8.542927e-05 7.078782e-05 1.244111e-04 3.832800e-05 3.164587e-05 3.737416e-05 1.081219e-05 1.649843e-05 3.647595e-05 2.656863e-05 3.572755e-05 6.298768e-05 2.087716e-05 3.954160e-05 4.711766e-05 1.500354e-05 2.464140e-05 1.023720e-04 5.587100e-05 4.876978e-05 9.666648e-05 4.964295e-05 5.286537e-05 2.484809e-04 5.018730e-05 5.839023e-05 2.078304e-04 5.767613e-05 5.351523e-05 1.163146e-03 7.720741e-05 7.853125e-05 1.637566e-03 8.328352e-05 9.271363e-05 1.708003e-03 7.553285e-05 7.663160e-05 2.953856e-03 8.207504e-05 7.069575e-05
6.842100e+02 7.894700e+02 1.543846e-04 5.042102e-05 8.060246e-05 1.142906e-04 6.766838e-05 9.871996e-05 1.612067e-04 5.396169e-05 4.104343e-05 1.245344e-04 5.467549e-05 7.060783e-05 7.158352e-05 2.571396e-05 3.414369e-05 6.788196e-05 3.898046e-05 3.317739e-05 3.920870e-05 2.478341e-05 4.469807e-05 4.790860e-05 2.559886e-05 5.522595e-05 2.226164e-05 1.231430e-05 2.908859e-05 9.682261e-05 3.252723e-05 2.990309e-05 1.127560e-04 3.807097e-05 4.015768e-05 1.989508e-04 4.088953e-05 3.536291e-05 7.637909e-04 6.885661e-05 6.483039e-05 9.016725e-04 1.002931e-04 6.891852e-05 1.358184e-03 6.514885e-05 7.333854e-05 2.293620e-03 6.469231e-05 6.760530e-05
7.894700e+02 8.947400e+02 4.640092e-05 2.695865e-05 6.356989e-05 1.861486e-04 8.099179e-05 7.322665e-05 1.458425e-04 3.500872e-05 7.639699e-05 7.421481e-05 4.389052e-05 8.944880e-05 1.006305e-04 2.486196e-05 8.866221e-05 4.959819e-05 1.541003e-05 1.930270e-05 6.655260e-05 2.051365e-05 2.223064e-05 3.639342e-05 1.694599e-05 2.533722e-05 4.712229e-05 2.378984e-05 2.143544e-05 2.370265e-05 7.781797e-06 6.973312e-06 7.890564e-05 2.521202e-05 4.627873e-05 1.149958e-04 2.442356e-05 3.153337e-05 2.671335e-04 4.165500e-05 4.126429e-05 5.802077e-04 6.599530e-05 5.152082e-05 9.665839e-04 7.239645e-05 7.156074e-05 1.827973e-03 6.360013e-05 6.737450e-05
8.947400e+02 1.000000e+03 1.146890e-04 3.850877e-05 1.300814e-04 1.780655e-04 9.041266e-05 5.314353e-05 1.612091e-04 3.184611e-05 3.574317e-05 1.238102e-04 3.960574e-05 6.768989e-05 8.409769e-05 6.526979e-05 5.287916e-05 6.899107e-05 4.765114e-05 1.047540e-04 7.884702e-05 2.569810e-05 2.971271e-05 2.166297e-05 1.265192e-05 3.460653e-05 2.963752e-05 1.417620e-05 2.214198e-05 1.431635e-05 6.623779e-06 6.477451e-06 4.099233e-05 1.462601e-05 1.894725e-05 8.981812e-05 2.514936e-05 2.547807e-05 1.150846e-04 2.937532e-05 2.916840e-05 2.923243e-04 4.962983e-05 4.704093e-05 6.656380e-04 6.249197e-05 5.557797e-05 1.637112e-03 6.313835e-05 6.448581e-05
1.000000e+03 1.105260e+03 1.709481e-04 1.265734e-04 5.534691e-05 1.049307e-04 4.654184e-05 1.379600e-04 8.287841e-05 3.905211e-05 6.439444e-05 4.639595e-05 1.872984e-05 1.835929e-05 4.949979e-05 1.506937e-05 6.356857e-05 6.711275e-05 2.593352e-05 6.087996e-05 3.265694e-05 1.781747e-05 2.763841e-05 3.027088e-05 9.163001e-06 1.122687e-05 1.083284e-05 6.504677e-06 1.145025e-05 4.211526e-05 1.507386e-05 1.823830e-05 3.712887e-05 1.290382e-05 2.637869e-05 4.390433e-05 2.415115e-05 2.338595e-05 1.700093e-04 4.488597e-05 3.566368e-05 1.754339e-04 4.616273e-05 7.058126e-05 6.279169e-04 5.430455e-05 5.219712e-05 1.171878e-03 5.437030e-05 5.360871e-05
1.105260e+03 1.210520e+03 2.080140e-04 4.351434e-05 5.761207e-05 1.693557e-04 7.654745e-05 6.365544e-05 1.473689e-04 4.524390e-05 8.088174e-05 1.251040e-04 9.355394e-05 8.538067e-05 1.045509e-04 2.968202e-05 4.687353e-05 5.053330e-05 1.555056e-05 3.089547e-05 1.928844e-05 8.890672e-06 1.475144e-05 2.201080e-05 9.527858e-06 9.497690e-06 2.164385e-05 1.311178e-05 3.078149e-05 3.792603e-05 1.154502e-05 1.619383e-05 4.441101e-05 6.105000e-06 8.090355e-06 5.384640e-05 2.433961e-05 1.916349e-05 6.365957e-05 1.061848e-05 8.840324e-06 2.380072e-05 8.914844e-06 1.464910e-05 4.182212e-04 4.416912e-05 4.293119e-05 9.701435e-04 4.993523e-05 5.214654e-05
1.210520e+03 1.315780e+03 1.635298e-04 5.292087e-05 9.523717e-05 1.968287e-04 3.394825e-05 4.878017e-05 1.576447e-04 6.647428e-05 6.579204e-05 8.310663e-05 2.786764e-05 3.495957e-05 8.721636e-05 7.178510e-05 7.498958e-05 7.352468e-05 4.181178e-05 6.917042e-05 5.955711e-05 2.394503e-05 5.503871e-05 3.654679e-05 2.008641e-05 7.916578e-06 3.028017e-05 2.631998e-05 2.235021e-05 1.723258e-05 3.849102e-06 1.923485e-05 2.078506e-05 9.324815e-06 1.479753e-05 3.488247e-05 1.159325e-05 1.788136e-05 3.131516e-05 1.305700e-05 1.714240e-05 1.174939e-04 4.115332e-05 4.147188e-05 3.199048e-04 3.308504e-05 4.067139e-05 9.478600e-04 5.160737e-05 5.127064e-05
